Source,Target,Scene,Interactions
1,2,1,4
2,1,1,3
1,2,2,16
2,1,2,14
4,1,3,3
4,2,3,1
4,5,3,3
4,3,3,2
3,2,3,2
3,1,3,2
3,5,3,2
3,4,3,2
1,5,3,2
1,3,3,1
1,4,3,2
5,2,3,1
5,1,3,3
5,4,3,1
2,5,3,1
6,2,4,4
2,6,4,3
11,2,5,3
2,11,5,2
1,2,5,4
2,1,5,3
3,11,5,1
5,9,6,1
5,4,6,4
5,8,6,1
8,5,6,5
4,5,6,6
1,2,7,5
2,1,7,3
1,2,8,9
2,1,8,4
5,4,9,3
5,9,9,1
4,5,9,4
9,5,9,2
5,10,9,1
10,5,9,1
1,2,10,13
2,1,10,12
10,5,11,3
10,4,11,3
5,10,11,1
4,5,11,1
5,3,11,1
3,5,11,1
1,2,12,8
2,1,12,4
7,2,13,2
2,7,13,2
1,7,13,1
1,2,13,2
4,5,13,2
5,4,13,1
1,4,13,1
1,4,14,5
1,5,14,6
4,1,14,3
5,1,14,3
4,5,14,3
5,4,14,3
2,4,14,3
2,5,14,1
4,2,14,3
1,2,14,3
2,1,14,3
3,1,14,1
1,3,14,1
2,1,15,2
1,2,15,4
